AM.dn	AM.up	N2.dn	N2.up
WBGene00019872	WBGene00020472	WBGene00017105	WBGene00011831
WBGene00019814	WBGene00017970	WBGene00000715	WBGene00044646
WBGene00020673	WBGene00010931	WBGene00001435	WBGene00000558
WBGene00004821	WBGene00002113	WBGene00020438	WBGene00045416
WBGene00011791	WBGene00021976	WBGene00016457	WBGene00013013
WBGene00021774	WBGene00007153	WBGene00001186	WBGene00044292
WBGene00003983	WBGene00020473	WBGene00016779	WBGene00017485
WBGene00044725	WBGene00020561	WBGene00016534	WBGene00004174
WBGene00002246	WBGene00044646	WBGene00013699	WBGene00021979
WBGene00021471	WBGene00044206	WBGene00044281	WBGene00014173
WBGene00016457	WBGene00022562	WBGene00006393	WBGene00044998
WBGene00018731	WBGene00008741	WBGene00007548	WBGene00019839
WBGene00009773	WBGene00003754	WBGene00010691	WBGene00010742
WBGene00021557	WBGene00007440	WBGene00009367	WBGene00010528
WBGene00018021	WBGene00016846	WBGene00000884	WBGene00007682
WBGene00016893	WBGene00012256	WBGene00019814	WBGene00077593
WBGene00003601	WBGene00015110	WBGene00006552	WBGene00010953
WBGene00019815	WBGene00021002	WBGene00000995	WBGene00009102
WBGene00016943	WBGene00044471	WBGene00007867	WBGene00011345
WBGene00006388	WBGene00006321	WBGene00008904	WBGene00001387
WBGene00008838	WBGene00044773	WBGene00000458	WBGene00006970
WBGene00021101	WBGene00018990	WBGene00020778	WBGene00019662
WBGene00044436	WBGene00010065	WBGene00219422	WBGene00010005
WBGene00010838	WBGene00001456	WBGene00010740	WBGene00021525
WBGene00015265	WBGene00016218	WBGene00001391	WBGene00008390
WBGene00020205	WBGene00008988	WBGene00018286	WBGene00007439
WBGene00021100	WBGene00016180	WBGene00019413	WBGene00016892
WBGene00044197	WBGene00000556	WBGene00020261	WBGene00045457
WBGene00003844	WBGene00045268	WBGene00015171	WBGene00000220
WBGene00000003	WBGene00022490	WBGene00013086	WBGene00004002
WBGene00000609	WBGene00008199		WBGene00018877
WBGene00010689	WBGene00044772		WBGene00003978
WBGene00015112	WBGene00015216		WBGene00009408
WBGene00022265	WBGene00009408		WBGene00017970
WBGene00077761	WBGene00001387		WBGene00018543
WBGene00009493	WBGene00010660		WBGene00019592
