	amir_1_mix_11	amir_1_mix_12	amir_1_mix_13	amir_1_mix_14	amir_1_mix_15	amir_1_mix_16	amir_1_mix_17	amir_1_mix_18	amir_1_mix_20	amir_1_mix_21	amir_1_mix_22	amir_1_mix_24
WBGene00000001	908.701111421933	1008.60065284814	900.29830759623	1121.67698616037	1073.1163860321	1014.18159782343	1009.33362168739	1248.37693528069	1200.7490830673	1587.81543922029	1350.98076892476	1374.47219547785
WBGene00000002	26.2354651591634	35.4735971058757	40.6659210457519	48.6294643172777	52.4027109951981	38.1809542709996	23.6826883300953	34.8633730583223	17.9350124431262	29.4039896151905	24.2807471050459	21.5241730835458
WBGene00000003	71.5512686159002	23.9686466931593	32.758658620189	41.5909892187243	42.529736459871	22.669941598406	54.1318590402177	29.4997772031958	40.3537779970338	57.0783327824286	15.5396781472294	35.8736218059097
WBGene00000004	659.464192409881	484.166663201818	832.521772519977	810.06449770623	877.175814484838	567.94169478112	1259.6934697484	522.950595874834	984.632183127626	485.165828650643	391.405643333341	523.754878366281
WBGene00000006	5.96260571799169	4.79372933863186	4.51843567175021	1.27972274519152	2.27837873892166	1.19315482096874	11.2774706333787	4.02269689134488	4.48375311078154	1.72964644795238	3.88491953680735	6.14976373815594
WBGene00000007	10.732690292385	2.87623760317911	1.12960891793755	7.03847509855335	7.59459579640553	8.35208374678117	1.12774706333787	1.34089896378163	3.58700248862523	5.18893934385715	3.88491953680735	3.07488186907797
WBGene00000008	2.38504228719667	1.91749173545274	1.12960891793755	1.91958411778728	0	1.19315482096874	1.12774706333787	0	6.27725435509415	4.32411611988096	2.91368965260551	1.02496062302599
WBGene00000010	708.357559297412	653.864681789385	859.632386550478	835.658952610061	855.910946254903	688.450331698962	843.554803376726	648.995098470307	946.968656997061	890.767920695477	749.789470603819	817.918577174741
WBGene00000012	15.5027748667784	4.79372933863186	9.03687134350043	14.0769501971067	8.35405537604608	11.9315482096874	14.6607118233923	10.727191710253	8.96750622156308	7.78340901578572	1.94245976840368	6.14976373815594
WBGene00000013	1100.69701554127	863.830026821461	903.687134350043	1043.61389870368	1202.224514571	941.399153744335	692.436696889452	744.198924898802	605.306669955508	473.923126738953	410.830241017377	425.358658555786
WBGene00000016	1.19252114359834	0.958745867726371	11.2960891793755	6.39861372595759	12.9108128538894	11.9315482096874	5.63873531668935	4.02269689134488	4.48375311078154	3.45929289590476	12.6259884946239	11.2745668532859
WBGene00000017	5.96260571799169	13.4224421481692	11.2960891793755	8.95805921634062	9.87297453532719	17.8973223145311	4.51098825335148	8.04539378268975	7.17400497725046	4.32411611988096	16.5109080314312	5.12480311512995
WBGene00000018	41.7382400259418	12.4636962804428	23.7217872766886	30.0734845120007	42.529736459871	14.3178578516249	51.876364913542	30.8406761669774	25.1090174203766	16.4316412555476	23.3095172208441	39.9734642980136
WBGene00000020	16.6952960103767	6.7112210740846	11.2960891793755	6.39861372595759	6.83513621676498	16.7041674935623	12.4052176967166	24.1361813480693	3.58700248862523	6.91858579180953	3.88491953680735	12.2995274763119
WBGene00000022	58.4335360363185	60.4009896667614	44.0547477995646	40.9511278461286	37.2135194023871	81.1345278258743	39.4711472168254	83.1357357544608	51.1147854629095	50.1597469906191	67.0148620099268	59.4477161355075
WBGene00000035	16.6952960103767	13.4224421481692	11.2960891793755	17.2762570600855	13.67027243353	20.2836319564686	19.1717000767438	12.0680906740346	11.657758088032	6.05376256783334	14.5684482630276	7.17472436118194
WBGene00000039	350.601216217911	620.308576418962	534.305018184463	464.539356504521	523.267650372341	659.814615995713	671.009502686032	671.790380854594	390.086520637994	311.336360631429	305.937413523579	257.265116379524
WBGene00000040	176.493129252554	99.7095702435426	159.274857429195	126.052690401364	179.23246079517	91.8729212145929	178.184036007383	88.4993316095873	141.686598300697	117.615958460762	88.3819194623672	129.145038501275
WBGene00000041	203.921115555316	233.933991725235	178.478209034133	175.961877463834	154.929754246673	221.926796700185	163.523324183991	194.430349748336	131.822341456977	193.720402170667	193.274746956166	154.769054076925
WBGene00000043	7.15512686159002	19.1749173545274	1.12960891793755	8.95805921634062	7.59459579640553	4.77261928387496	6.76648238002722	6.70449481890813	12.5545087101883	6.05376256783334	1.94245976840368	8.19968498420793
WBGene00000046	7.15512686159002	5.75247520635823	20.332960522876	3.83916823557455	8.35405537604608	16.7041674935623	11.2774706333787	2.68179792756325	8.07075559940677	4.32411611988096	4.85614942100919	8.19968498420793
WBGene00000048	2.38504228719667	0	1.12960891793755	1.91958411778728	9.87297453532719	4.77261928387496	0	2.68179792756325	0	6.05376256783334	2.91368965260551	4.09984249210396
WBGene00000050	3.57756343079501	2.87623760317911	1.12960891793755	5.11889098076607	2.27837873892166	5.9657741048437	5.63873531668935	2.68179792756325	2.69025186646892	5.18893934385715	7.7698390736147	0
WBGene00000055	35.7756343079501	24.9273925608857	65.5173172403781	33.2727913749794	38.7324385616682	42.9535735548746	45.1098825335148	22.7952823842876	43.9407804856591	31.9984592871191	27.1944367576515	32.7987399368317
WBGene00000056	10.732690292385	9.58745867726372	7.90726242556287	10.2377819615321	14.4297320131705	13.1247030306561	18.0439530134059	9.38629274647138	24.2122667982203	6.91858579180953	7.7698390736147	7.17472436118194
WBGene00000057	8.34764800518836	13.4224421481692	6.77765350762532	8.95805921634062	15.1891915928111	9.54523856774991	6.76648238002722	6.70449481890813	3.58700248862523	6.91858579180953	6.79860918941286	9.22464560723392
