	amir_1_mix_11	amir_1_mix_12	amir_1_mix_14	amir_1_mix_16	amir_1_mix_17	amir_1_mix_18	amir_1_mix_21	amir_1_mix_22
WBGene00000001	883.320526275243	988.781486687817	1099.04853449684	990.758201422585	990.625916112227	1225.60592359267	1538.90925301357	1324.1370314817
WBGene00000002	25.5026923596527	34.7765351781837	47.6484247699716	37.2991322888502	23.2437365791696	34.2274479198812	28.4983195002513	23.7982931610658
WBGene00000003	69.5527973445073	23.4976589041782	40.7519422374757	22.1463597965048	53.1285407523876	28.9616867014379	55.3202672651936	15.2309076230821
WBGene00000004	641.044948858543	474.652709864399	793.722444194526	554.824592796647	1236.34541709202	513.411718798218	470.222271754146	383.62848575638
WBGene00000006	5.79606644537561	4.69953178083563	1.25390591499925	1.16559788402657	11.0684459900807	3.94932091383244	1.6763717353089	3.80772690577052
WBGene00000007	10.4329196016761	2.81971906850138	6.89648253249588	8.15918518818599	1.10684459900807	1.31644030461081	5.02911520592669	3.80772690577052
WBGene00000010	688.572693710623	641.01613490598	818.800562494511	672.549979083331	827.91976005804	637.157107431634	863.331443684082	734.891292813711
WBGene00000012	15.0697727579766	4.69953178083563	13.7929650649918	11.6559788402657	14.388979787105	10.5315224368865	7.54367280889004	1.90386345288526
WBGene00000013	1069.95386581634	846.855626906581	1022.56027368189	919.656730496964	679.602583790958	730.624369059002	459.325855474638	402.667120285233
WBGene00000016	1.15921328907512	0.939906356167126	6.26952957499626	11.6559788402657	5.53422299504037	3.94932091383244	3.3527434706178	12.3751124437542
WBGene00000017	5.79606644537561	13.1586889863398	8.77734140499476	17.4839682603986	4.4273783960323	7.89864182766488	4.19092933827224	16.1828393495247
WBGene00000018	40.5724651176293	12.2187826301726	29.4667890024824	13.9871746083188	50.9148515543714	30.2781270060487	15.9255314854345	22.8463614346231
WBGene00000020	16.2289860470517	6.57934449316988	6.26952957499626	16.318370376372	12.1752905890888	23.6959254829947	6.70548694123559	3.80772690577052
WBGene00000022	56.801451164681	59.214100438529	40.124989279976	79.2606561138068	38.7395609652826	81.6192988858705	48.614780323958	65.6832891245415
WBGene00000035	16.2289860470517	13.1586889863398	16.9277298524899	19.8151640284517	18.8163581831373	11.8479627414973	5.86730107358114	14.2789758966395
WBGene00000039	340.808706988086	608.119412440131	455.167847144728	644.575629866693	658.572536409804	659.536592610018	301.746912355602	299.858493829429
