"","N2.up","N2.dn","AM.up","AM.dn","INTERSECT.up","INTERSECT.dn","INTERSECT.reg","N2.only.up","AM.only.up","N2.only.dn","AM.only.dn","UNION.up","UNION.dn","UNION.reg"
"1","WBGene00002271","WBGene00010790","WBGene00007682","WBGene00016627","WBGene00002271","WBGene00010790","WBGene00002271","WBGene00004412","WBGene00022679","WBGene00020700","WBGene00016636","WBGene00007682","WBGene00016627","WBGene00007682"
"2","WBGene00018601","WBGene00006557","WBGene00015046","WBGene00020218","WBGene00018601","WBGene00006557","WBGene00018601","WBGene00000039","WBGene00021625","WBGene00000657","WBGene00016088","WBGene00015046","WBGene00020218","WBGene00015046"
"3","WBGene00235094","WBGene00016627","WBGene00003096","WBGene00006547","WBGene00235094","WBGene00016627","WBGene00235094","WBGene00021048","WBGene00020194","WBGene00019606","WBGene00003518","WBGene00003096","WBGene00006547","WBGene00003096"
"4","WBGene00044471","WBGene00020218","WBGene00017970","WBGene00010064","WBGene00044471","WBGene00020218","WBGene00044471","WBGene00019858","WBGene00018297","WBGene00004352","WBGene00000503","WBGene00017970","WBGene00010064","WBGene00017970"
"5","WBGene00044212","WBGene00006541","WBGene00000560","WBGene00006557","WBGene00044212","WBGene00006541","WBGene00044212","WBGene00011060","WBGene00021321","WBGene00007979","WBGene00020756","WBGene00000560","WBGene00006557","WBGene00000560"
"6","WBGene00007440","WBGene00016534","WBGene00009982","WBGene00021913","WBGene00007440","WBGene00016534","WBGene00007440","WBGene00003623","WBGene00045414","WBGene00015549","WBGene00015569","WBGene00009982","WBGene00021913","WBGene00009982"
"7","WBGene00017970","WBGene00001436","WBGene00008390","WBGene00010790","WBGene00017970","WBGene00001436","WBGene00017970","WBGene00004469","WBGene00001702","WBGene00000175","WBGene00000733","WBGene00008390","WBGene00010790","WBGene00008390"
"8","WBGene00004496","WBGene00002130","WBGene00013392","WBGene00016457","WBGene00004496","WBGene00002130","WBGene00004496","WBGene00006942","WBGene00015340","WBGene00012299","WBGene00007850","WBGene00013392","WBGene00016457","WBGene00013392"
"9","WBGene00003096","WBGene00006547","WBGene00012212","WBGene00016534","WBGene00003096","WBGene00006547","WBGene00003096","WBGene00006408","WBGene00010964","WBGene00006393","WBGene00003844","WBGene00012212","WBGene00016534","WBGene00012212"
"10","WBGene00010953","WBGene00013254","WBGene00007315","WBGene00002130","WBGene00010953","WBGene00013254","WBGene00010953","WBGene00001075","WBGene00013489","WBGene00022642","WBGene00001976","WBGene00007315","WBGene00002130","WBGene00007315"
"11","WBGene00003879","WBGene00003377","WBGene00086560","WBGene00004813","WBGene00003879","WBGene00003377","WBGene00003879","WBGene00022382","WBGene00010963","WBGene00004354","WBGene00000938","WBGene00086560","WBGene00004813","WBGene00086560"
"12","WBGene00004415","WBGene00004815","WBGene00016596","WBGene00006541","WBGene00004415","WBGene00004815","WBGene00004415","WBGene00004483","WBGene00010962","WBGene00001477","WBGene00016943","WBGene00016596","WBGene00006541","WBGene00016596"
