"","N2.up","N2.dn","AM.up","AM.dn","INTERSECT.up","INTERSECT.dn","INTERSECT.reg","N2.only.up","AM.only.up","N2.only.dn","AM.only.dn","UNION.up","UNION.dn","UNION.reg"
"27","WBGene00019858","WBGene00018605","WBGene00017485","WBGene00015322","WBGene00004477","WBGene00004816","WBGene00004477","WBGene00008476","WBGene00020341","WBGene00018286","WBGene00007855","WBGene00017485","WBGene00015322","WBGene00017485"
"28","WBGene00004480","WBGene00004816","WBGene00002271","WBGene00003377","WBGene00004413","WBGene00004814","WBGene00004413","WBGene00000170","WBGene00017340","WBGene00008218","WBGene00017143","WBGene00002271","WBGene00003377","WBGene00002271"
"29","WBGene00002269","WBGene00004814","WBGene00000067","WBGene00021468","WBGene00004420","WBGene00020261","WBGene00004420","WBGene00044998","WBGene00010959","WBGene00006474","WBGene00006956","WBGene00000067","WBGene00021468","WBGene00000067"
"30","WBGene00011060","WBGene00020261","WBGene00010007","WBGene00000453","WBGene00009963","WBGene00001186","WBGene00009963","WBGene00007324","WBGene00017539","WBGene00004078","WBGene00022334","WBGene00010007","WBGene00000453","WBGene00010007"
"31","WBGene00004488","WBGene00001186","WBGene00235094","WBGene00017481","WBGene00004475","WBGene00008139","WBGene00004475","WBGene00016509","WBGene00015841","WBGene00004984","WBGene00000435","WBGene00235094","WBGene00017481","WBGene00235094"
"32","WBGene00004477","WBGene00008139","WBGene00003530","WBGene00006545","WBGene00004470","WBGene00000884","WBGene00004470","WBGene00016097","WBGene00015802","WBGene00000732","WBGene00017583","WBGene00003530","WBGene00006545","WBGene00003530"
"33","WBGene00004413","WBGene00000884","WBGene00013008","WBGene00219422","WBGene00004472","WBGene00010785","WBGene00004472","WBGene00012615","WBGene00050906","WBGene00017864","WBGene00017908","WBGene00013008","WBGene00219422","WBGene00013008"
"34","WBGene00003623","WBGene00010785","WBGene00006789","WBGene00006331","WBGene00018532","WBGene00008904","WBGene00018532","WBGene00006366","WBGene00016417","WBGene00011614","WBGene00008784","WBGene00006789","WBGene00006331","WBGene00006789"
"35","WBGene00004420","WBGene00008904","WBGene00011190","WBGene00020261","WBGene00004485","WBGene00000868","WBGene00004485","WBGene00020954","WBGene00002368","WBGene00013347","WBGene00003397","WBGene00011190","WBGene00020261","WBGene00011190"
"36","WBGene00009963","WBGene00000868","WBGene00006764","WBGene00002125","WBGene00044773","WBGene00004163","WBGene00044773","WBGene00010470","WBGene00000739","WBGene00021658","WBGene00235351","WBGene00006764","WBGene00002125","WBGene00006764"
