"","N2.up","N2.dn","AM.up","AM.dn","INTERSECT.up","INTERSECT.dn","INTERSECT.reg","N2.only.up","AM.only.up","N2.only.dn","AM.only.dn","UNION.up","UNION.dn","UNION.reg"
"257","WBGene00009306","WBGene00009897","WBGene00014206","WBGene00000003","WBGene00044665","WBGene00010495","WBGene00044665","WBGene00009304",NA,"WBGene00004147",NA,"WBGene00014206","WBGene00000003","WBGene00014206"
"258","WBGene00007989","WBGene00020216","WBGene00008377","WBGene00021779","WBGene00020740","WBGene00001999","WBGene00020740","WBGene00011222",NA,"WBGene00010034",NA,"WBGene00008377","WBGene00021779","WBGene00008377"
"259","WBGene00021253","WBGene00020823","WBGene00017756","WBGene00015613","WBGene00019476","WBGene00018714","WBGene00019476","WBGene00016492",NA,"WBGene00008488",NA,"WBGene00017756","WBGene00015613","WBGene00017756"
"260","WBGene00015933","WBGene00019547","WBGene00021899","WBGene00011475","WBGene00194658","WBGene00006545","WBGene00194658","WBGene00010639",NA,"WBGene00013233",NA,"WBGene00021899","WBGene00011475","WBGene00021899"
"261","WBGene00008020","WBGene00011605","WBGene00004447","WBGene00004781","WBGene00015110","WBGene00019624","WBGene00015110","WBGene00016332",NA,"WBGene00011625",NA,"WBGene00004447","WBGene00004781","WBGene00004447"
"262","WBGene00045268","WBGene00017085","WBGene00003063","WBGene00015565","WBGene00012255","WBGene00012198","WBGene00012255","WBGene00235306",NA,"WBGene00013307",NA,"WBGene00003063","WBGene00015565","WBGene00003063"
"263","WBGene00004494","WBGene00021763","WBGene00004439","WBGene00020508","WBGene00018145","WBGene00017252","WBGene00018145","WBGene00006452",NA,"WBGene00012467",NA,"WBGene00004439","WBGene00020508","WBGene00004439"
"264","WBGene00015551","WBGene00006720","WBGene00003767","WBGene00000414","WBGene00008865","WBGene00014999","WBGene00008865","WBGene00010528",NA,"WBGene00021730",NA,"WBGene00003767","WBGene00000414","WBGene00003767"
"265","WBGene00016355","WBGene00015265","WBGene00006760","WBGene00003595","WBGene00015046","WBGene00020508","WBGene00015046","WBGene00010041",NA,"WBGene00007696",NA,"WBGene00006760","WBGene00003595","WBGene00006760"
"266","WBGene00022042","WBGene00000106","WBGene00019489","WBGene00000396","WBGene00012257","WBGene00015518","WBGene00012257","WBGene00001065",NA,"WBGene00001329",NA,"WBGene00019489","WBGene00000396","WBGene00019489"
"267","WBGene00002090","WBGene00018483","WBGene00077693","WBGene00018735","WBGene00016052","WBGene00007867","WBGene00016052","WBGene00016927",NA,"WBGene00010942",NA,"WBGene00077693","WBGene00018735","WBGene00077693"
"268","WBGene00021095","WBGene00005059","WBGene00016219","WBGene00004391","WBGene00045272","WBGene00007068","WBGene00045272","WBGene00009102",NA,"WBGene00020050",NA,"WBGene00016219","WBGene00004391","WBGene00016219"
"269","WBGene00014207","WBGene00009583","WBGene00012668","WBGene00001103","WBGene00016425","WBGene00007042","WBGene00016425","WBGene00017711",NA,"WBGene00015200",NA,"WBGene00012668","WBGene00001103","WBGene00012668"
"270","WBGene00009215","WBGene00007433","WBGene00018487","WBGene00003020","WBGene00011590","WBGene00019907","WBGene00011590","WBGene00022048",NA,"WBGene00011912",NA,"WBGene00018487","WBGene00003020","WBGene00018487"
"271","WBGene00006741","WBGene00011915","WBGene00007218","WBGene00000366","WBGene00006819","WBGene00014117","WBGene00006819","WBGene00019644",NA,"WBGene00009444",NA,"WBGene00007218","WBGene00000366","WBGene00007218"
"272","WBGene00020471","WBGene00007846","WBGene00004448","WBGene00006902","WBGene00202514","WBGene00018104","WBGene00202514","WBGene00007856",NA,"WBGene00000121",NA,"WBGene00004448","WBGene00006902","WBGene00004448"
"273","WBGene00000067","WBGene00012546","WBGene00002269","WBGene00021199","WBGene00015932","WBGene00008838","WBGene00015932","WBGene00011083",NA,"WBGene00021774",NA,"WBGene00002269","WBGene00021199","WBGene00002269"
"274","WBGene00020315","WBGene00019787","WBGene00013081","WBGene00008973","WBGene00021909","WBGene00019814","WBGene00021909","WBGene00003990",NA,"WBGene00000148",NA,"WBGene00013081","WBGene00008973","WBGene00013081"
"275","WBGene00006372","WBGene00013794","WBGene00000831","WBGene00014199","WBGene00008922","WBGene00000713","WBGene00008922","WBGene00009804",NA,"WBGene00000010",NA,"WBGene00000831","WBGene00014199","WBGene00000831"
"276","WBGene00007313","WBGene00016905","WBGene00012760","WBGene00001080","WBGene00007097","WBGene00015610","WBGene00007097","WBGene00003978",NA,"WBGene00001240",NA,"WBGene00012760","WBGene00001080","WBGene00012760"
"277","WBGene00000779","WBGene00016823","WBGene00002978","WBGene00006580","WBGene00021835","WBGene00001002","WBGene00021835","WBGene00000433",NA,"WBGene00012512",NA,"WBGene00002978","WBGene00006580","WBGene00002978"
"278","WBGene00004321","WBGene00008526","WBGene00006728","WBGene00010731","WBGene00020561","WBGene00001439","WBGene00020561","WBGene00021260",NA,"WBGene00008236",NA,"WBGene00006728","WBGene00010731","WBGene00006728"
"279","WBGene00013969","WBGene00219422","WBGene00004454","WBGene00021505","WBGene00013702","WBGene00006961","WBGene00013702","WBGene00000370",NA,"WBGene00006707",NA,"WBGene00004454","WBGene00021505","WBGene00004454"
"280","WBGene00045251","WBGene00011501","WBGene00000217","WBGene00020199","WBGene00235133","WBGene00011231","WBGene00235133","WBGene00014178",NA,"WBGene00020896",NA,"WBGene00000217","WBGene00020199","WBGene00000217"
"281","WBGene00015823","WBGene00010690","WBGene00003495","WBGene00016983","WBGene00022515","WBGene00000120","WBGene00022515","WBGene00006749",NA,"WBGene00001852",NA,"WBGene00003495","WBGene00016983","WBGene00003495"
"282","WBGene00019662","WBGene00002076","WBGene00020471","WBGene00004055","WBGene00017841","WBGene00012936","WBGene00017841","WBGene00015514",NA,"WBGene00011253",NA,"WBGene00020471","WBGene00004055","WBGene00020471"
"283","WBGene00003091","WBGene00020630","WBGene00020684","WBGene00009221","WBGene00009434","WBGene00000460","WBGene00009434","WBGene00003602",NA,"WBGene00000817",NA,"WBGene00020684","WBGene00009221","WBGene00020684"
"284","WBGene00020938","WBGene00015180","WBGene00006819","WBGene00001949","WBGene00016316","WBGene00006816","WBGene00016316","WBGene00016658",NA,"WBGene00020437",NA,"WBGene00006819","WBGene00001949","WBGene00006819"
"285","WBGene00020736","WBGene00018269","WBGene00044479","WBGene00016868","WBGene00014697","WBGene00022667","WBGene00014697","WBGene00018743",NA,"WBGene00009812",NA,"WBGene00044479","WBGene00016868","WBGene00044479"
"286","WBGene00012861","WBGene00010687","WBGene00004444","WBGene00018857","WBGene00007474","WBGene00018995","WBGene00007474","WBGene00015791",NA,"WBGene00020480",NA,"WBGene00004444","WBGene00018857","WBGene00004444"
"287","WBGene00009408","WBGene00015391","WBGene00004476","WBGene00022667","WBGene00001685","WBGene00022418","WBGene00001685","WBGene00001693",NA,"WBGene00001996",NA,"WBGene00004476","WBGene00022667","WBGene00004476"
"288","WBGene00019160","WBGene00019938","WBGene00004450","WBGene00010051","WBGene00006981","WBGene00001331","WBGene00006981","WBGene00007578",NA,"WBGene00006776",NA,"WBGene00004450","WBGene00010051","WBGene00004450"
"289","WBGene00000681","WBGene00020994","WBGene00020808","WBGene00000836","WBGene00022822","WBGene00012982","WBGene00022822","WBGene00018951",NA,"WBGene00011741",NA,"WBGene00020808","WBGene00000836","WBGene00020808"
"290","WBGene00022013","WBGene00018892","WBGene00044772","WBGene00000609","WBGene00003063","WBGene00022741","WBGene00003063","WBGene00013514",NA,"WBGene00018016",NA,"WBGene00044772","WBGene00000609","WBGene00044772"
"291","WBGene00013654","WBGene00019381","WBGene00016594","WBGene00004829","WBGene00001397","WBGene00002124","WBGene00001397","WBGene00017133",NA,"WBGene00000616",NA,"WBGene00016594","WBGene00004829","WBGene00016594"
"292","WBGene00002978","WBGene00006607","WBGene00020341","WBGene00004203","WBGene00000217","WBGene00020778","WBGene00000217","WBGene00018823",NA,"WBGene00004350",NA,"WBGene00020341","WBGene00004203","WBGene00020341"
"293","WBGene00008572","WBGene00002079","WBGene00017340","WBGene00004749","WBGene00003610","WBGene00021682","WBGene00003610","WBGene00006649",NA,"WBGene00016139",NA,"WBGene00017340","WBGene00004749","WBGene00017340"
"294","WBGene00012692","WBGene00019628","WBGene00010959","WBGene00018355","WBGene00194695","WBGene00009851","WBGene00194695","WBGene00016763",NA,"WBGene00021890",NA,"WBGene00010959","WBGene00018355","WBGene00010959"
"295","WBGene00022736","WBGene00015171","WBGene00017539","WBGene00000464","WBGene00003369","WBGene00019700","WBGene00003369","WBGene00012758",NA,"WBGene00004088",NA,"WBGene00017539","WBGene00000464","WBGene00017539"
"296","WBGene00018488","WBGene00022669","WBGene00007125","WBGene00011124","WBGene00012548","WBGene00000591","WBGene00012548","WBGene00007516",NA,"WBGene00010807",NA,"WBGene00007125","WBGene00011124","WBGene00007125"
"297","WBGene00009982","WBGene00015587","WBGene00015841","WBGene00019872","WBGene00014206","WBGene00011388","WBGene00014206","WBGene00006870",NA,"WBGene00021543",NA,"WBGene00015841","WBGene00019872","WBGene00015841"
"298","WBGene00003589","WBGene00015538","WBGene00015802","WBGene00005009","WBGene00015523","WBGene00011738","WBGene00015523","WBGene00016788",NA,"WBGene00000111",NA,"WBGene00015802","WBGene00005009","WBGene00015802"
"299","WBGene00015930","WBGene00004750","WBGene00045457","WBGene00044949","WBGene00016596","WBGene00008384","WBGene00016596","WBGene00008803",NA,"WBGene00044692",NA,"WBGene00045457","WBGene00044949","WBGene00045457"
"300","WBGene00001167","WBGene00006843","WBGene00004493","WBGene00020274","WBGene00006760","WBGene00007321","WBGene00006760","WBGene00018543",NA,"WBGene00017355",NA,"WBGene00004493","WBGene00020274","WBGene00004493"
"301","WBGene00009130","WBGene00013721","WBGene00000757","WBGene00003111","WBGene00003934","WBGene00009537","WBGene00003934","WBGene00008228",NA,"WBGene00016102",NA,"WBGene00000757","WBGene00003111","WBGene00000757"
"302","WBGene00005018","WBGene00018021","WBGene00004432","WBGene00010199","WBGene00000998","WBGene00016576","WBGene00000998","WBGene00004174",NA,"WBGene00011962",NA,"WBGene00004432","WBGene00010199","WBGene00004432"
"303","WBGene00017128","WBGene00009188","WBGene00011345","WBGene00007068","WBGene00000756","WBGene00001165","WBGene00000756","WBGene00006798",NA,"WBGene00019124",NA,"WBGene00011345","WBGene00007068","WBGene00011345"
"304","WBGene00009624","WBGene00009573","WBGene00013013","WBGene00010550","WBGene00004311","WBGene00011807","WBGene00004311","WBGene00020844",NA,"WBGene00006382",NA,"WBGene00013013","WBGene00010550","WBGene00013013"
"305","WBGene00011460","WBGene00000715","WBGene00050906","WBGene00017854","WBGene00012256","WBGene00016603","WBGene00012256","WBGene00004310",NA,"WBGene00012020",NA,"WBGene00050906","WBGene00017854","WBGene00050906"
"306","WBGene00017660","WBGene00004392","WBGene00016417","WBGene00001081","WBGene00007925","WBGene00004705","WBGene00007925","WBGene00002123",NA,"WBGene00000894",NA,"WBGene00016417","WBGene00001081","WBGene00016417"
"307","WBGene00019097","WBGene00000703","WBGene00022848","WBGene00007887","WBGene00011564","WBGene00020438","WBGene00011564","WBGene00007180",NA,"WBGene00017816",NA,"WBGene00022848","WBGene00007887","WBGene00022848"
"308","WBGene00009964","WBGene00017990","WBGene00002368","WBGene00004822","WBGene00017756","WBGene00013606","WBGene00017756","WBGene00006840",NA,"WBGene00006786",NA,"WBGene00002368","WBGene00004822","WBGene00002368"
"309","WBGene00020047","WBGene00000235","WBGene00000739","WBGene00018362","WBGene00016635","WBGene00000464","WBGene00016635","WBGene00017123",NA,"WBGene00004312",NA,"WBGene00000739","WBGene00018362","WBGene00000739"
"310","WBGene00011833","WBGene00044500","WBGene00010901","WBGene00003822","WBGene00000285","WBGene00006523","WBGene00000285","WBGene00006928",NA,"WBGene00011111",NA,"WBGene00010901","WBGene00003822","WBGene00010901"
"311","WBGene00077490","WBGene00004319","WBGene00008988","WBGene00018208","WBGene00020504","WBGene00000301","WBGene00020504","WBGene00010244",NA,"WBGene00003582",NA,"WBGene00008988","WBGene00018208","WBGene00008988"
"312","WBGene00001000","WBGene00008686","WBGene00020740","WBGene00012936","WBGene00004997","WBGene00019960","WBGene00004997","WBGene00015295",NA,"WBGene00006477",NA,"WBGene00020740","WBGene00012936","WBGene00020740"
"313","WBGene00000556","WBGene00000064","WBGene00013297","WBGene00009673","WBGene00020143","WBGene00010199","WBGene00020143","WBGene00045261",NA,"WBGene00010646",NA,"WBGene00013297","WBGene00009673","WBGene00013297"
"314","WBGene00045401","WBGene00001484","WBGene00002217","WBGene00002207","WBGene00006789","WBGene00012238","WBGene00006789","WBGene00022113",NA,"WBGene00007458",NA,"WBGene00002217","WBGene00002207","WBGene00002217"
"315","WBGene00006764","WBGene00011011","WBGene00000273","WBGene00015344","WBGene00019780","WBGene00000608","WBGene00019780","WBGene00004238",NA,"WBGene00012584",NA,"WBGene00000273","WBGene00015344","WBGene00000273"
"316","WBGene00010573","WBGene00000712","WBGene00001163","WBGene00004128","WBGene00019967","WBGene00004703","WBGene00019967","WBGene00006926",NA,"WBGene00014177",NA,"WBGene00001163","WBGene00004128","WBGene00001163"
"317","WBGene00008777","WBGene00010234","WBGene00015647","WBGene00018719","WBGene00016218","WBGene00016434","WBGene00016218","WBGene00022045",NA,"WBGene00015899",NA,"WBGene00015647","WBGene00018719","WBGene00015647"
"318","WBGene00003371","WBGene00001511","WBGene00006372","WBGene00003154","WBGene00007125","WBGene00016009","WBGene00007125","WBGene00022441",NA,"WBGene00013127",NA,"WBGene00006372","WBGene00003154","WBGene00006372"
"319","WBGene00009787","WBGene00007969","WBGene00004311","WBGene00012240","WBGene00008944","WBGene00011681","WBGene00008944","WBGene00045265",NA,"WBGene00012445",NA,"WBGene00004311","WBGene00012240","WBGene00004311"
"320","WBGene00002039","WBGene00015411","WBGene00019018","WBGene00018438","WBGene00044772","WBGene00020274","WBGene00044772","WBGene00021487",NA,"WBGene00007352",NA,"WBGene00019018","WBGene00018438","WBGene00019018"
"321","WBGene00001330","WBGene00004317","WBGene00019732","WBGene00002007","WBGene00007405","WBGene00003794","WBGene00007405","WBGene00010049",NA,"WBGene00001335",NA,"WBGene00019732","WBGene00002007","WBGene00019732"
"322","WBGene00000738","WBGene00006352","WBGene00019327","WBGene00021100","WBGene00016180","WBGene00015132","WBGene00016180","WBGene00011393",NA,"WBGene00021456",NA,"WBGene00019327","WBGene00021100","WBGene00019327"
"323","WBGene00013200","WBGene00013209","WBGene00016316","WBGene00017782","WBGene00010296","WBGene00017405","WBGene00010296","WBGene00001752",NA,"WBGene00020665",NA,"WBGene00016316","WBGene00017782","WBGene00016316"
"324","WBGene00016422","WBGene00001840","WBGene00015692","WBGene00000120","WBGene00000831","WBGene00000137","WBGene00000831","WBGene00011520",NA,"WBGene00019295",NA,"WBGene00015692","WBGene00000120","WBGene00015692"
"325","WBGene00003847","WBGene00012301","WBGene00005002","WBGene00007286","WBGene00006930","WBGene00000079","WBGene00006930","WBGene00016229",NA,"WBGene00044916",NA,"WBGene00005002","WBGene00007286","WBGene00005002"
"326","WBGene00004435","WBGene00020245","WBGene00013882","WBGene00013698","WBGene00008652","WBGene00004915","WBGene00008652","WBGene00009429",NA,"WBGene00003246",NA,"WBGene00013882","WBGene00013698","WBGene00013882"
"327","WBGene00015692","WBGene00023497","WBGene00004443","WBGene00007934","WBGene00008378","WBGene00004203","WBGene00008378","WBGene00014698",NA,"WBGene00009285",NA,"WBGene00004443","WBGene00007934","WBGene00004443"
"328","WBGene00010904","WBGene00000249","WBGene00011571","WBGene00015037","WBGene00004300","WBGene00015943","WBGene00004300","WBGene00021540",NA,"WBGene00017755",NA,"WBGene00011571","WBGene00015037","WBGene00011571"
"329","WBGene00002021","WBGene00013241","WBGene00019967","WBGene00003040","WBGene00013289","WBGene00000870","WBGene00013289","WBGene00044068",NA,"WBGene00006498",NA,"WBGene00019967","WBGene00003040","WBGene00019967"
"330","WBGene00044081","WBGene00021153","WBGene00007989","WBGene00004736","WBGene00013013","WBGene00015344","WBGene00013013","WBGene00015942",NA,"WBGene00021929",NA,"WBGene00007989","WBGene00004736","WBGene00007989"
"331","WBGene00021703","WBGene00022127","WBGene00002056","WBGene00009188","WBGene00018339","WBGene00013699","WBGene00018339","WBGene00016838",NA,"WBGene00000068",NA,"WBGene00002056","WBGene00009188","WBGene00002056"
"332","WBGene00004219","WBGene00008959","WBGene00002113","WBGene00015943","WBGene00002113","WBGene00018740","WBGene00002113","WBGene00012186",NA,"WBGene00001032",NA,"WBGene00002113","WBGene00015943","WBGene00002113"
"333","WBGene00044922","WBGene00019427","WBGene00011561","WBGene00015265","WBGene00021020","WBGene00016841","WBGene00021020","WBGene00018901",NA,"WBGene00003826",NA,"WBGene00011561","WBGene00015265","WBGene00011561"
"334","WBGene00004122","WBGene00022141","WBGene00003696","WBGene00004893","WBGene00015217","WBGene00012732","WBGene00015217","WBGene00008555",NA,"WBGene00020064",NA,"WBGene00003696","WBGene00004893","WBGene00003696"
"335","WBGene00004898","WBGene00009773","WBGene00019727","WBGene00020543","WBGene00002036","WBGene00004893","WBGene00002036","WBGene00007555",NA,"WBGene00022774",NA,"WBGene00019727","WBGene00020543","WBGene00019727"
"336","WBGene00008579","WBGene00016710","WBGene00021702","WBGene00015391","WBGene00001784","WBGene00011059","WBGene00001784","WBGene00018996",NA,"WBGene00009469",NA,"WBGene00021702","WBGene00015391","WBGene00021702"
"337","WBGene00013081","WBGene00008670","WBGene00018862","WBGene00022816","WBGene00022562","WBGene00000376","WBGene00022562","WBGene00005663",NA,"WBGene00008138",NA,"WBGene00018862","WBGene00022816","WBGene00018862"
"338","WBGene00015517","WBGene00009820","WBGene00021977","WBGene00000527","WBGene00007765","WBGene00020379","WBGene00007765","WBGene00000043",NA,"WBGene00022043",NA,"WBGene00021977","WBGene00000527","WBGene00021977"
"339","WBGene00017964","WBGene00003136","WBGene00008857","WBGene00016841","WBGene00006321","WBGene00015037","WBGene00006321","WBGene00000789",NA,"WBGene00001259",NA,"WBGene00008857","WBGene00016841","WBGene00008857"
"340","WBGene00001478","WBGene00005008","WBGene00013969","WBGene00000257","WBGene00008743","WBGene00018037","WBGene00008743","WBGene00012144",NA,"WBGene00045498",NA,"WBGene00013969","WBGene00000257","WBGene00013969"
"341","WBGene00012107","WBGene00018828","WBGene00004994","WBGene00015868","WBGene00020456","WBGene00009233","WBGene00020456","WBGene00000788",NA,"WBGene00019630",NA,"WBGene00004994","WBGene00015868","WBGene00004994"
"342","WBGene00001072","WBGene00000896","WBGene00001167","WBGene00000708","WBGene00012840","WBGene00021516","WBGene00012840","WBGene00007614",NA,"WBGene00013311",NA,"WBGene00001167","WBGene00000708","WBGene00001167"
"343","WBGene00004810","WBGene00017648","WBGene00020736","WBGene00019414","WBGene00003482","WBGene00020726","WBGene00003482","WBGene00008229",NA,"WBGene00004919",NA,"WBGene00020736","WBGene00019414","WBGene00020736"
"344","WBGene00014164","WBGene00011267","WBGene00004440","WBGene00004746","WBGene00020703","WBGene00018438","WBGene00020703","WBGene00019537",NA,"WBGene00009200",NA,"WBGene00004440","WBGene00004746","WBGene00004440"
"345","WBGene00003408","WBGene00008973","WBGene00012351","WBGene00016449","WBGene00003756","WBGene00006528","WBGene00003756","WBGene00020373",NA,"WBGene00013593",NA,"WBGene00012351","WBGene00016449","WBGene00012351"
"346","WBGene00011105","WBGene00014017","WBGene00017838","WBGene00000591","WBGene00019361","WBGene00019591","WBGene00019361","WBGene00008511",NA,"WBGene00007351",NA,"WBGene00017838","WBGene00000591","WBGene00017838"
"347","WBGene00012668","WBGene00019947","WBGene00003902","WBGene00001390","WBGene00004994","WBGene00001080","WBGene00004994","WBGene00000232",NA,"WBGene00003026",NA,"WBGene00003902","WBGene00001390","WBGene00003902"
"348","WBGene00004811","WBGene00004945","WBGene00009222","WBGene00021204","WBGene00000281","WBGene00009721","WBGene00000281","WBGene00006454",NA,"WBGene00011636",NA,"WBGene00009222","WBGene00021204","WBGene00009222"
"349","WBGene00008857","WBGene00012879","WBGene00015817","WBGene00009553","WBGene00044921","WBGene00006775","WBGene00044921","WBGene00001232",NA,"WBGene00019657",NA,"WBGene00015817","WBGene00009553","WBGene00015817"
"350","WBGene00044665","WBGene00001869","WBGene00000556","WBGene00012317","WBGene00206464","WBGene00001833","WBGene00206464","WBGene00013484",NA,"WBGene00013093",NA,"WBGene00000556","WBGene00012317","WBGene00000556"
"351","WBGene00020740","WBGene00010051","WBGene00004445","WBGene00004699","WBGene00009628","WBGene00044436","WBGene00009628","WBGene00008735",NA,"WBGene00001686",NA,"WBGene00004445","WBGene00004699","WBGene00004445"
"352","WBGene00019476","WBGene00044072","WBGene00010353","WBGene00012300","WBGene00000298","WBGene00003539","WBGene00000298","WBGene00003588",NA,"WBGene00022336",NA,"WBGene00010353","WBGene00012300","WBGene00010353"
"353","WBGene00020363","WBGene00019413","WBGene00010931","WBGene00017993","WBGene00043995","WBGene00018355","WBGene00043995","WBGene00021495",NA,"WBGene00019871",NA,"WBGene00010931","WBGene00017993","WBGene00010931"
"354","WBGene00194658","WBGene00020031","WBGene00000680","WBGene00010689","WBGene00013394","WBGene00010845","WBGene00013394","WBGene00021397",NA,"WBGene00004388",NA,"WBGene00000680","WBGene00010689","WBGene00000680"
"355","WBGene00015110","WBGene00001088","WBGene00004405","WBGene00015610","WBGene00000373","WBGene00000482","WBGene00000373","WBGene00017310",NA,"WBGene00011746",NA,"WBGene00004405","WBGene00015610","WBGene00004405"
"356","WBGene00012255","WBGene00006556","WBGene00020703","WBGene00007846","WBGene00004773","WBGene00016500","WBGene00004773","WBGene00011592",NA,"WBGene00006593",NA,"WBGene00020703","WBGene00007846","WBGene00020703"
"357","WBGene00017591","WBGene00011892","WBGene00021467","WBGene00004106","WBGene00009514","WBGene00021557","WBGene00009514","WBGene00022674",NA,"WBGene00011329",NA,"WBGene00021467","WBGene00004106","WBGene00021467"
"358","WBGene00009842","WBGene00020290","WBGene00007339","WBGene00001086","WBGene00004999","WBGene00008080","WBGene00004999","WBGene00004040",NA,"WBGene00011729",NA,"WBGene00007339","WBGene00001086","WBGene00007339"
"359","WBGene00020760","WBGene00017993","WBGene00004486","WBGene00020544","WBGene00002023","WBGene00008611","WBGene00002023","WBGene00014000",NA,"WBGene00016486",NA,"WBGene00004486","WBGene00020544","WBGene00004486"
"360","WBGene00018145","WBGene00011908","WBGene00018073","WBGene00006852","WBGene00016379","WBGene00004128","WBGene00016379","WBGene00001169",NA,"WBGene00004302",NA,"WBGene00018073","WBGene00006852","WBGene00018073"
"361","WBGene00020158","WBGene00001562","WBGene00008652","WBGene00004204","WBGene00009029","WBGene00010689","WBGene00009029","WBGene00015232",NA,"WBGene00010348",NA,"WBGene00008652","WBGene00004204","WBGene00008652"
"362","WBGene00044644","WBGene00015776","WBGene00019957","WBGene00001025","WBGene00194674","WBGene00020511","WBGene00194674","WBGene00020339",NA,"WBGene00013230",NA,"WBGene00019957","WBGene00001025","WBGene00019957"
"363","WBGene00008865","WBGene00018857","WBGene00001713","WBGene00014144","WBGene00012812","WBGene00004829","WBGene00012812","WBGene00001446",NA,"WBGene00022420",NA,"WBGene00001713","WBGene00014144","WBGene00001713"
"364","WBGene00015046","WBGene00017986","WBGene00001685","WBGene00001958","WBGene00013210","WBGene00014015","WBGene00013210","WBGene00000780",NA,"WBGene00003947",NA,"WBGene00001685","WBGene00001958","WBGene00001685"
"365","WBGene00015122","WBGene00011977","WBGene00006930","WBGene00013086","WBGene00018112","WBGene00016894","WBGene00018112","WBGene00013312",NA,"WBGene00017263",NA,"WBGene00006930","WBGene00013086","WBGene00006930"
"366","WBGene00003773","WBGene00018248","WBGene00013702","WBGene00015329","WBGene00002225","WBGene00010066","WBGene00002225","WBGene00015010",NA,"WBGene00015146",NA,"WBGene00013702","WBGene00015329","WBGene00013702"
"367","WBGene00012257","WBGene00016013","WBGene00015698","WBGene00000870","WBGene00003375","WBGene00004822","WBGene00003375","WBGene00022178",NA,"WBGene00004508",NA,"WBGene00015698","WBGene00000870","WBGene00015698"
"368","WBGene00003517","WBGene00000459","WBGene00011428","WBGene00002980","WBGene00018702","WBGene00006902","WBGene00018702","WBGene00007264",NA,"WBGene00017158",NA,"WBGene00011428","WBGene00002980","WBGene00011428"
"369","WBGene00016052","WBGene00022310","WBGene00004441","WBGene00006745","WBGene00017838","WBGene00014144","WBGene00017838","WBGene00018602",NA,"WBGene00021155",NA,"WBGene00004441","WBGene00006745","WBGene00004441"
"370","WBGene00020931","WBGene00011124","WBGene00008113","WBGene00013007","WBGene00007218","WBGene00022099","WBGene00007218","WBGene00006436",NA,"WBGene00001166",NA,"WBGene00008113","WBGene00013007","WBGene00008113"
"371","WBGene00045272","WBGene00006704","WBGene00016628","WBGene00022099","WBGene00004131","WBGene00010872","WBGene00004131","WBGene00007336",NA,"WBGene00017676",NA,"WBGene00016628","WBGene00022099","WBGene00016628"
"372","WBGene00012140","WBGene00015778","WBGene00012358","WBGene00013606","WBGene00000757","WBGene00003367","WBGene00000757","WBGene00007749",NA,"WBGene00009930",NA,"WBGene00012358","WBGene00013606","WBGene00012358"
"373","WBGene00044445","WBGene00019249","WBGene00008295","WBGene00013796","WBGene00007574","WBGene00020199","WBGene00007574","WBGene00022847",NA,"WBGene00011275",NA,"WBGene00008295","WBGene00013796","WBGene00008295"
"374","WBGene00016425","WBGene00019799","WBGene00009434","WBGene00022501","WBGene00008975","WBGene00013219","WBGene00008975","WBGene00012759",NA,"WBGene00021051",NA,"WBGene00009434","WBGene00022501","WBGene00009434"
"375","WBGene00006470","WBGene00017004","WBGene00008865","WBGene00002175","WBGene00016178","WBGene00012641","WBGene00016178","WBGene00020690",NA,"WBGene00006324",NA,"WBGene00008865","WBGene00002175","WBGene00008865"
"376","WBGene00017727","WBGene00000274","WBGene00010319","WBGene00021469","WBGene00003010","WBGene00235391","WBGene00003010","WBGene00016877",NA,"WBGene00015249",NA,"WBGene00010319","WBGene00021469","WBGene00010319"
"377","WBGene00001064","WBGene00001569","WBGene00015729","WBGene00018248","WBGene00002064","WBGene00002981","WBGene00002064","WBGene00020301",NA,"WBGene00007943",NA,"WBGene00015729","WBGene00018248","WBGene00015729"
"378","WBGene00006743","WBGene00003020","WBGene00001110","WBGene00017780","WBGene00020566","WBGene00017303","WBGene00020566","WBGene00022335",NA,"WBGene00019041",NA,"WBGene00001110","WBGene00017780","WBGene00001110"
"379","WBGene00004809","WBGene00010691","WBGene00012428","WBGene00012530","WBGene00013297","WBGene00010702","WBGene00013297","WBGene00004228",NA,"WBGene00006431",NA,"WBGene00012428","WBGene00012530","WBGene00012428"
"380","WBGene00011590","WBGene00013011","WBGene00015694","WBGene00004698","WBGene00001168","WBGene00020544","WBGene00001168","WBGene00017258",NA,"WBGene00007878",NA,"WBGene00015694","WBGene00004698","WBGene00015694"
"381","WBGene00012382","WBGene00018689","WBGene00006321","WBGene00001999","WBGene00001694","WBGene00000503","WBGene00001694","WBGene00001395",NA,"WBGene00011543",NA,"WBGene00006321","WBGene00001999","WBGene00006321"
"382","WBGene00010047","WBGene00002117","WBGene00019780","WBGene00016894","WBGene00018519","WBGene00001976","WBGene00018519","WBGene00008369",NA,"WBGene00001215",NA,"WBGene00019780","WBGene00016894","WBGene00019780"
"383","WBGene00006819","WBGene00045486","WBGene00011335","WBGene00008444","WBGene00003902","WBGene00007303","WBGene00003902","WBGene00021869",NA,"WBGene00022880",NA,"WBGene00011335","WBGene00008444","WBGene00011335"
"384","WBGene00000022","WBGene00015011","WBGene00018353","WBGene00001002","WBGene00001559","WBGene00004745","WBGene00001559","WBGene00002272",NA,"WBGene00003087",NA,"WBGene00018353","WBGene00001002","WBGene00018353"
