	amir_1_mix_1	amir_1_mix_2	amir_1_mix_5	amir_1_mix_6	amir_1_mix_8	amir_1_mix_9
WBGene00000001	1197.68601336719	871.67148643025	868.106929215453	1083.99852521636	989.051056115207	788.703575153475
WBGene00000002	14.9137147258366	39.7764042047702	23.0363570601866	27.5216660783843	20.3156433147988	34.4579231863169
WBGene00000003	40.1523088772524	34.0940607469459	40.0105148940083	30.185053118228	33.1465759346718	33.1817038090459
WBGene00000004	577.04603900737	518.229723353578	705.639989948874	585.057353085654	561.353302119442	784.874917021662
WBGene00000006	5.73604412532177	3.40940607469459	3.63731953581894	1.77559135989576	4.27697753995765	1.276219377271
WBGene00000007	1.14720882506435	0	6.0621992263649	3.55118271979152	4.27697753995765	6.38109688635498
WBGene00000008	0	3.40940607469459	4.84975938109192	0.887795679947881	3.20773315496824	3.82865813181299
WBGene00000010	776.660374568568	543.232034568005	801.422737725439	661.407781561172	755.955780187515	620.242617353704
WBGene00000012	6.88325295038613	9.09174953251891	3.03109961318245	3.55118271979152	9.62319946490471	1.276219377271
WBGene00000013	430.203309399133	354.578231768237	440.115663834092	343.57692813983	455.49810800549	298.635334281413
WBGene00000016	3.44162647519306	3.40940607469459	2.42487969054596	7.99016111953093	6.41546630993648	7.65731626362597
WBGene00000017	14.9137147258366	18.1834990650378	1.81865976790947	9.76575247942669	20.3156433147988	14.038413149981
WBGene00000018	26.3858029764802	22.7293738312973	27.8861164412785	30.185053118228	24.5926208547565	19.1432906590649
WBGene00000020	10.3248794255792	14.7740929903432	16.3679379111852	10.6535481593746	8.5539550799153	12.76219377271
WBGene00000022	20.6497588511584	62.5057780360675	29.0985562865515	61.2579019164038	27.8003540097247	65.0871882408208
WBGene00000035	13.7665059007723	29.5481859806865	8.48707891691086	14.2047308791661	9.62319946490471	17.8670712817939
WBGene00000039	191.583873785747	583.008438772775	221.876491684955	791.91374651351	315.427093571877	721.063948158112
WBGene00000040	105.543211905921	81.8257457926702	86.0832290143815	63.9212889562474	85.539550799153	96.9926726725957
WBGene00000041	237.472226788321	215.929051397324	183.07841663622	199.754027988273	162.525146518391	191.432906590649
WBGene00000043	4.58883530025742	14.7740929903432	3.63731953581894	17.7559135989576	8.5539550799153	22.9719487908779
WBGene00000046	16.060923550901	9.09174953251891	7.27463907163788	4.43897839973941	3.20773315496824	6.38109688635498
WBGene00000049	3.44162647519306	0	2.42487969054596	7.99016111953093	2.13848876997882	0
WBGene00000050	3.44162647519306	11.3646869156486	3.03109961318245	6.21456975963517	6.41546630993648	2.55243875454199
WBGene00000055	20.6497588511584	13.6376242987784	12.1243984527298	17.7559135989576	11.7616882348835	7.65731626362597
WBGene00000056	17.2081323759653	15.9105616819081	17.5803777564582	16.8681179190097	12.830932619873	17.8670712817939
WBGene00000057	9.17767060051484	7.95528084095405	13.3368382980028	10.6535481593746	6.41546630993648	5.10487750908398
WBGene00000058	6.88325295038613	9.09174953251891	4.24353945845543	3.55118271979152	5.34622192494706	7.65731626362597
WBGene00000063	17798.9449208735	15628.7174464	14509.8738483044	14604.2389351426	14379.1984893376	17351.4786533765
WBGene00000064	23383.5574812867	16726.5462024517	22317.3802319397	18231.7720834097	20990.3365217272	17651.3902070351
WBGene00000065	2652.34680354879	2366.12781583805	2718.29013310202	2663.38703984364	2513.79354911011	2713.24239607814
WBGene00000066	8615.5382762333	11805.6367679758	7911.77621032883	10763.6348236881	7756.2987687132	14455.7368863486
WBGene00000067	844.345695247365	1544.46095183665	1039.06094739894	1266.88443528563	1028.61309835981	1854.34675517476
WBGene00000068	27.5330118015445	13.6376242987784	58.197112573103	16.8681179190097	25.6618652397459	17.8670712817939
WBGene00000069	1.14720882506435	3.40940607469459	1.21243984527298	4.43897839973941	2.13848876997882	6.38109688635498
WBGene00000070	8.03046177545048	10.2282182240838	15.7617179885487	14.2047308791661	10.6924438498941	22.9719487908779
WBGene00000071	5.73604412532177	9.09174953251891	4.84975938109192	2.66338703984364	6.41546630993648	5.10487750908398
WBGene00000072	4.58883530025742	12.5011556072135	10.9119586074568	17.7559135989576	12.830932619873	14.038413149981
WBGene00000073	102.101585430728	100.009244857708	109.725805997205	70.1358587158826	83.4010620291742	86.7829176544277
WBGene00000074	254.680359164287	236.385487845492	218.239172149136	266.338703984364	193.533233683084	220.785952267882
WBGene00000075	34.4162647519306	15.9105616819081	24.2487969054596	16.8681179190097	41.7005310145871	22.9719487908779
WBGene00000079	156.020400208752	119.329212614311	180.047317023037	95.8819334343712	147.555725128539	112.307305199848
WBGene00000080	668.822745012519	498.909755596975	709.277309484693	585.057353085654	596.638366824092	558.984087244696
WBGene00000081	69.9797383289256	93.1904327083188	64.8655317221044	92.3307507145797	70.5701294093012	77.8493820135307
WBGene00000083	10.3248794255792	30.6846546722513	26.6736765960055	18.6437092789055	8.5539550799153	15.3146325272519
WBGene00000084	2.29441765012871	5.68234345782432	6.66841914900139	4.43897839973941	7.48471069492589	10.209755018168
WBGene00000085	8.03046177545048	4.54587476625945	6.0621992263649	0	3.20773315496824	0
WBGene00000086	35.563473576995	76.1434023348459	29.704776209188	28.4094617583322	58.8084411744177	72.7445045044467
WBGene00000088	32.1218471018019	14.7740929903432	31.5234359770975	31.0728487981758	19.2463989298094	43.3914588272138
WBGene00000089	123.89855310695	162.515022893775	100.632507157657	115.413438393225	109.06292726892	139.107912122538
WBGene00000090	390.05100052188	292.07245373217	432.841024762454	345.352519499726	363.5430908964	336.921915599543
WBGene00000092	216.822467937163	201.154958406981	251.581267894143	214.846554547387	249.133941702533	230.99570728605
