	amir_1_mix_11	amir_1_mix_13	amir_1_mix_14	amir_1_mix_15	amir_1_mix_17	amir_1_mix_20	amir_1_mix_21	amir_1_mix_24
WBGene00000001	969.899418328966	956.899520110005	1191.00704139062	1137.91899521225	1058.5075678681	1265.51829099147	1715.19253967239	1481.63808795732
WBGene00000002	28.0023454110725	43.2225630162612	51.6352168543567	55.5671696175833	24.8364904192516	18.9024389991258	31.7628248087479	23.2023861648798
WBGene00000003	76.3700329392887	34.8181757630993	44.1616986254367	45.0979927331111	56.7691209582893	42.5304877480331	61.6572481581578	38.670643608133
WBGene00000004	703.877136923777	884.861915082903	860.13400707389	930.146100120417	1321.06475230019	1037.74390105201	524.086609344341	564.591396678742
WBGene00000005	2.54566776464296	6.0031337522585	1.35882149616728	0.805321298805556	1.18269001996436	0.945121949956291	2.80260218900717	3.31462659498283
WBGene00000006	6.36416941160739	4.8025070018068	1.35882149616728	2.41596389641667	11.8269001996436	4.72560974978146	1.86840145933811	6.62925318996566
WBGene00000007	11.4555049408933	1.2006267504517	7.47351822892006	8.05321298805556	1.18269001996436	3.78048779982516	5.60520437801434	3.31462659498283
WBGene00000008	2.54566776464296	1.2006267504517	2.03823224425092	0	1.18269001996436	6.61585364969404	4.67100364834529	1.10487553166094
WBGene00000010	756.063326098958	913.676957093744	887.310436997236	907.597103753861	884.652134933341	998.048779153843	962.226751559129	881.690674265433
WBGene00000012	16.5468404701792	9.6050140036136	14.9470364578401	8.85853428686111	15.3749702595367	9.45121949956291	8.40780656702151	6.62925318996566
WBGene00000013	1174.82567338272	960.501400361361	1108.11893012442	1274.82361600919	726.171672258117	637.957316220497	511.941999858643	458.523345639291
WBGene00000016	1.27283388232148	12.006267504517	6.79410748083641	13.6904620796944	5.9134500998218	4.72560974978146	3.73680291867623	12.1536308482704
WBGene00000017	6.36416941160739	12.006267504517	9.51175047317098	10.4691768844722	4.73076007985744	7.56097559965033	4.67100364834529	5.52437765830472
WBGene00000018	44.5491858812517	25.2131617594857	31.9323051599311	45.0979927331111	54.4037409183605	26.4634145987762	17.7498138637121	43.0901457347768
WBGene00000020	17.8196743525007	12.006267504517	6.79410748083641	7.24789168925	13.009590219608	3.78048779982516	7.47360583735246	13.2585063799313
WBGene00000022	62.3688602337524	46.8244432676163	43.4822878773531	39.4607436414722	41.3941506987526	53.8719511475086	54.1836423208053	64.0827808363347
WBGene00000035	17.8196743525007	12.006267504517	18.3440901982583	14.4957833785	20.1057303393941	12.2865853494318	6.5394051076834	7.7341287216266
WBGene00000039	374.213161402515	567.896452963654	493.252203108724	554.866374877028	703.700561878794	411.128048230987	336.312262680861	277.323758446897
WBGene00000040	188.379414583579	169.28837181369	133.843917372477	190.055826518111	186.865023154369	149.329268093094	127.051299234992	139.214316989279
WBGene00000041	217.654593876973	189.699026571369	186.837955723001	164.285544956333	171.490052894832	138.932926643575	209.260963445869	166.836205280802
WBGene00000043	7.63700329392887	1.2006267504517	9.51175047317098	8.05321298805556	7.09614011978616	13.2317072993881	6.5394051076834	8.83900425328755
WBGene00000046	7.63700329392887	21.6112815081306	4.07646448850185	8.85853428686111	11.8269001996436	8.50609754960662	4.67100364834529	8.83900425328755
WBGene00000048	2.54566776464296	1.2006267504517	2.03823224425092	10.4691768844722	0	0	6.5394051076834	4.41950212664377
WBGene00000049	1.27283388232148	3.6018802513551	4.07646448850185	1.61064259761111	4.73076007985744	3.78048779982516	0	3.31462659498283
WBGene00000050	3.81850164696443	1.2006267504517	5.43528598466913	2.41596389641667	5.9134500998218	2.83536584986887	5.60520437801434	0
WBGene00000055	38.1850164696443	69.6363515261986	35.3293589003494	41.0713862390833	47.3076007985744	46.3109755478583	34.5654269977551	35.3560170131502
WBGene00000056	11.4555049408933	8.4043872531619	10.8705719693383	15.3011046773056	18.9230403194298	25.5182926488199	7.47360583735246	7.7341287216266
WBGene00000057	8.90983717625035	7.2037605027102	9.51175047317098	16.1064259761111	7.09614011978616	3.78048779982516	7.47360583735246	9.94387978494849
WBGene00000058	17.8196743525007	13.2068942549687	14.2676257097565	22.5489963665556	10.6442101796792	15.1219511993007	8.40780656702151	9.94387978494849
WBGene00000059	3.81850164696443	2.4012535009034	2.71764299233457	4.02660649402778	1.18269001996436	4.72560974978146	0	0
WBGene00000063	19231.2471279952	16981.6647583889	17818.9056899897	19850.3646942581	17896.4653821007	15813.7804666687	23071.9554206367	25369.0470824669
WBGene00000064	20901.205181601	20984.5543443948	22839.0717075797	20385.098036665	23319.0991236373	23212.1950909265	22965.4565374544	24446.47601353
WBGene00000065	2758.23102299064	2881.50420108408	2833.82223025687	2614.07293592283	2993.38844052979	3070.70121540799	2953.94270721356	3623.99174384789
WBGene00000066	13290.9313992009	12767.4648643034	12573.1753040359	12202.2283195018	13314.7242447588	10144.9390108308	9952.04037316447	12355.8230705643
WBGene00000067	1154.46033126558	1164.60794793815	1106.76010862825	1098.45825157078	878.738684833519	1116.18902289838	880.951288077921	1617.53777835162
WBGene00000068	30.5480131757155	39.6206827649061	33.2911266560984	29.7968880558056	24.8364904192516	32.1341462985139	40.1706313757695	23.2023861648798
WBGene00000069	2.54566776464296	3.6018802513551	4.07646448850185	4.02660649402778	10.6442101796792	2.83536584986887	5.60520437801434	4.41950212664377
WBGene00000070	26.729511528751	19.2100280072272	10.8705719693383	12.0798194820833	24.8364904192516	9.45121949956291	23.3550182417264	32.0413904181674
WBGene00000071	2.54566776464296	7.2037605027102	10.8705719693383	6.44257039044445	8.27883013975052	6.61585364969404	3.73680291867623	11.0487553166094
