	amir_1_mix_1	amir_1_mix_2	amir_1_mix_5	amir_1_mix_6	amir_1_mix_7	amir_1_mix_8	amir_1_mix_9	amir_1_mix_10
WBGene00000001	1224.88313507479	893.141042349109	889.222745367327	1109.41821792687	869.411775931145	1012.12816172609	810.156255603766	1140.0122023106
WBGene00000002	15.2523762030386	40.7561101463088	23.5966929636581	28.1670473019926	12.9762951631514	20.7896595381576	35.3951762156985	28.9905870445478
WBGene00000003	41.0640897774117	34.9338086968361	40.9837298842483	30.8928905892822	46.9142978975474	33.919970825415	34.0842437632653	48.6018665158595
WBGene00000004	590.149633086802	530.993892191908	722.803963413106	598.776908774617	687.743643647025	574.451118817511	806.223458246467	453.617420814689
WBGene00000006	5.86629853963024	3.49338086968361	3.72579362584075	1.81722885819307	4.99088275505824	4.3767704290858	1.31093245243328	4.2633216241982
WBGene00000007	1.17325970792605	0	6.20965604306792	3.63445771638614	3.99270620404659	4.3767704290858	6.5546622621664	2.55799297451892
WBGene00000008	0	3.49338086968361	4.96772483445434	0.908614429096536	1.9963531020233	3.28257782181435	3.93279735729984	0
WBGene00000010	794.296822265934	556.612018569588	820.91652889358	676.917749676919	787.56129874819	773.594173340915	637.113171882574	748.639277209205
WBGene00000012	7.03955824755628	9.31568231915629	3.10482802153396	3.63445771638614	3.99270620404659	9.84773346544305	1.31093245243328	5.96865027387749
WBGene00000013	439.972390472268	363.311610447095	450.821028726731	351.63378406036	386.294325241508	466.126050697638	306.758193869387	333.3917510123
WBGene00000016	3.51977912377814	3.49338086968361	2.48386241722717	8.17752986186883	0.998176551011648	6.5651556436287	7.86559471459967	4.2633216241982
WBGene00000017	15.2523762030386	18.6313646383126	1.86289681292038	9.9947587200619	7.98541240809318	20.7896595381576	14.4202569767661	5.96865027387749
WBGene00000018	26.9849732822991	23.2892057978907	28.5644177981125	30.8928905892822	23.9562372242795	25.1664299672434	19.6639867864992	20.4639437961514
WBGene00000020	10.5593373713344	15.137983768629	16.7660713162834	10.9033731491584	5.98905930606989	8.7535408581716	13.1093245243328	9.37930757323605
WBGene00000022	21.1186747426689	64.0453159441995	29.806349006726	62.694395607661	35.9343558364193	28.4490077890577	66.8575550740972	38.3698946177838
WBGene00000035	14.0791164951126	30.2759675372579	8.69351846029509	14.5378308655446	10.9799420611281	9.84773346544305	18.3530543340659	14.4952935222739
WBGene00000039	195.93437122365	597.368128715897	227.273411176286	810.48407075411	371.321676976333	322.786819145078	740.676835624803	231.924696356382
WBGene00000040	107.939893129196	83.8411408724066	88.1771158115645	65.4202388949506	111.795773713305	87.535408581716	99.6308663849292	104.877711955276
WBGene00000041	242.864759540692	221.247455079962	187.531612500651	204.438246546721	168.691837120968	166.31727630526	196.639867864992	220.840060133467
WBGene00000043	4.69303883170419	15.137983768629	3.72579362584075	18.1722885819307	8.98358895910483	8.7535408581716	23.596784143799	12.7899648725946
WBGene00000046	16.4256359109647	9.31568231915629	7.45158725168151	4.54307214548268	2.99452965303494	3.28257782181435	6.5546622621664	0
WBGene00000049	3.51977912377814	0	2.48386241722717	8.17752986186883	1.9963531020233	2.1883852145429	0	1.70532864967928
WBGene00000050	3.51977912377814	11.6446028989454	3.10482802153396	6.36030100367575	5.98905930606989	6.5651556436287	2.62186490486656	0.852664324839641
WBGene00000055	21.1186747426689	13.9735234787344	12.4193120861358	18.1722885819307	12.9762951631514	12.036118679986	7.86559471459967	14.4952935222739
WBGene00000056	17.5988956188907	16.3024440585235	18.008002524897	17.2636741528342	9.98176551011648	13.1303112872574	18.3530543340659	5.11598594903785
WBGene00000057	9.38607766340838	8.15122202926175	13.6612432947494	10.9033731491584	3.99270620404659	6.5651556436287	5.24372980973312	6.82131459871713
WBGene00000058	7.03955824755628	9.31568231915629	4.34675923014755	3.63445771638614	12.9762951631514	5.47096303635725	7.86559471459967	5.96865027387749
WBGene00000063	18203.1243684726	16013.6579066297	14862.8117390831	14946.707358638	16794.320470771	14714.7021825865	17823.4376232829	16967.167399984
WBGene00000064	23914.5526266566	17138.5265466678	22860.2277569503	18659.3059159265	23196.6248689597	21480.0950733458	18131.5067496047	22341.5106394483
WBGene00000065	2712.57644472502	2424.40632356042	2784.40976971166	2725.84328728961	2864.76670140343	2572.44681969518	2787.04239387315	2491.48515718143
WBGene00000066	8811.18040652462	12096.4134914244	8104.22210180795	11016.0413383664	9408.81216983579	7937.2731731471	14848.9318887118	9470.54265599389
WBGene00000067	863.519145033571	1582.50153396667	1064.33504578184	1296.59279032076	1156.8866226225	1052.61328819514	1904.78485338555	1443.56070195351
WBGene00000068	28.1582329902251	13.9735234787344	59.6126980134521	17.2636741528342	26.9507668773145	26.2606225745148	18.3530543340659	44.3385448916613
WBGene00000069	1.17325970792605	3.49338086968361	1.24193120861358	4.54307214548268	0.998176551011648	2.1883852145429	6.5546622621664	0.852664324839641
WBGene00000070	8.21281795548233	10.4801426090508	16.1451057119766	14.5378308655446	15.9708248161864	10.9419260727145	23.596784143799	17.0532864967928
WBGene00000071	5.86629853963024	9.31568231915629	4.96772483445434	2.72584328728961	4.99088275505824	6.5651556436287	5.24372980973312	6.82131459871713
WBGene00000072	4.69303883170419	12.8090631888399	11.1773808775223	18.1722885819307	11.9781186121398	13.1303112872574	14.4202569767661	7.67397892355677
WBGene00000073	104.420114005418	102.472505510719	112.394774379529	71.7805398986264	96.8231254481298	85.3470233671731	89.143406765463	98.9090616813984
WBGene00000074	260.463655159583	242.207740298064	223.547617550445	272.584328728961	305.442024609564	198.048861916133	226.791314270957	231.924696356382
