	amir_1_mix_1	amir_1_mix_2	amir_1_mix_3	amir_1_mix_5	amir_1_mix_6	amir_1_mix_7	amir_1_mix_8	amir_1_mix_9	amir_1_mix_10
WBGene00000001	965.818374043661	713.365404048092	642.394985821959	699.110371852869	878.604467977106	686.641755606552	803.275510192938	645.479470169557	897.040645543962
WBGene00000002	12.0264740062908	32.5525282160146	25.9553529625034	18.5518115435817	22.3069111443819	10.2483844120381	16.4997131823414	28.2005593763399	22.81180400037
WBGene00000003	32.3789684784752	27.9021670422982	6.48883824062584	32.2215674177999	24.465644480935	37.05185133583	26.9205846659255	27.1560942142532	38.2433184712085
WBGene00000004	465.332032704944	424.112939042933	376.352617956299	568.271279913925	474.201756262828	543.164373838019	455.913127406803	642.346074683297	356.937639064613
WBGene00000006	4.62556692549646	2.79021670422982	0	2.92923340161817	1.43915555770206	3.94168631232234	3.47362382786135	1.04446516208666	3.35467705887794
WBGene00000007	0.925113385099293	0	0	4.88205566936361	2.87831111540411	3.15334904985787	3.47362382786135	5.22232581043331	2.01280623532677
WBGene00000010	626.301761712221	444.574528207285	752.705235912598	645.40775948987	536.085445244016	621.998100084465	613.963011574494	507.610068774118	589.081291538967
WBGene00000012	5.55068031059576	7.4405778779462	12.9776764812517	2.44102783468181	2.87831111540411	3.15334904985787	7.81565361268805	1.04446516208666	4.69654788242912
WBGene00000013	346.917519412235	290.182537239902	227.109338421905	354.437241595798	278.476600415348	305.086520573749	369.940937667234	244.404847928279	262.335746004255
WBGene00000016	2.77534015529788	2.79021670422982	12.9776764812517	1.95282226774545	6.47620000965925	0.788337262464468	5.21043574179203	6.26679097251997	3.35467705887794
WBGene00000017	12.0264740062908	14.8811557558924	19.4665147218775	1.46461670080908	7.91535556736131	6.30669809971574	16.4997131823414	11.4891167829533	4.69654788242912
WBGene00000018	21.2776078572837	18.6014446948655	19.4665147218775	22.4574560790726	24.465644480935	18.9200942991472	19.9733370102028	15.6669774312999	16.1024498826141
WBGene00000020	8.32602046589363	12.0909390516626	6.48883824062584	13.1815503072818	8.63493334621234	4.73002357478681	6.94724765572271	10.4446516208666	7.38028952953147
WBGene00000022	16.6520409317873	51.1539729108801	58.3995441656326	23.4338672129453	49.650866740721	28.3801414487209	22.5785548810988	53.2677232664198	30.1920935299015
WBGene00000035	11.1013606211915	24.1818781033251	25.9553529625034	6.83487793710906	11.5132444616165	8.67170988710915	7.81565361268805	14.6225122692133	11.405902000185
WBGene00000039	154.493935311582	477.1270564233	201.153985459401	178.683237498708	641.863378735117	293.261461636782	256.179757304775	590.122816578964	182.49443200296
WBGene00000040	85.1104314291349	66.9652009015158	97.3325736093877	69.3251905049633	51.809600077274	88.2937733960204	69.4724765572271	79.3793523185863	82.5250556483974
WBGene00000041	191.498470715554	176.713724601222	129.776764812517	147.438081214781	161.905000241481	133.228997356495	131.997705458731	156.669774312999	173.772271649877
WBGene00000043	3.70045354039717	12.0909390516626	12.9776764812517	2.92923340161817	14.3915555770206	7.09503536218021	6.94724765572271	18.8003729175599	10.0640311766338
WBGene00000046	12.9515873913901	7.4405778779462	6.48883824062584	5.85846680323634	3.59788889425514	2.3650117873934	2.60521787089602	5.22232581043331	0
WBGene00000050	2.77534015529788	9.30072234743275	6.48883824062584	2.44102783468181	5.0370444519572	4.73002357478681	5.21043574179203	2.08893032417332	0.670935411775589
WBGene00000055	16.6520409317873	11.1608668169193	90.8437353687618	9.76411133872723	14.3915555770206	10.2483844120381	9.55246552661872	6.26679097251997	11.405902000185
WBGene00000056	13.8767007764894	13.0210112864058	0	14.1579614411545	13.6719777981695	7.88337262464468	10.4208714835841	14.6225122692133	4.02561247065353
WBGene00000057	7.40090708079434	6.51050564320292	6.48883824062584	10.7405224726	8.63493334621234	3.15334904985787	5.21043574179203	4.17786064834665	5.36748329420471
WBGene00000058	5.55068031059576	7.4405778779462	0	3.41743896855453	2.87831111540411	10.2483844120381	4.34202978482669	6.26679097251997	4.69654788242912
WBGene00000063	14353.1341698155	12790.3533721895	12867.366231161	11685.2002446218	11837.0544620994	13263.7744409647	11678.3233092699	14200.5483437303	13350.9437589224
WBGene00000064	18856.5861284789	13688.8031509515	15430.4573362083	17972.7997411952	14777.2492664847	18320.1696424118	17047.6773411866	14445.9976568206	17579.849659344
WBGene00000065	2138.86214634956	1936.4103927355	2258.11570773779	2189.11376214264	2158.73333655308	2262.52794327302	2041.62240482551	2220.53293459624	1960.47327320827
WBGene00000066	6947.60152209569	9661.59037451314	10713.0719352733	6371.57085408645	8724.16099078987	7430.86703599008	6299.41681182657	11830.6568909556	7452.07961859146
WBGene00000067	680.883451433079	1263.96816701611	1550.83233950958	836.784341728923	1026.83749042042	913.682887196319	835.406530600656	1517.60788051192	1135.89365213607
WBGene00000068	22.202721242383	11.1608668169193	6.48883824062584	46.8677344258907	13.6719777981695	21.2851060865406	20.8417429671681	14.6225122692133	34.8886414123306
WBGene00000069	0.925113385099293	2.79021670422982	6.48883824062584	0.976411133872723	3.59788889425514	0.788337262464468	1.73681191393068	5.22232581043331	0.670935411775589
WBGene00000070	6.47579369569505	8.37065011268947	6.48883824062584	12.6933447403454	11.5132444616165	12.6133961994315	8.68405956965339	18.8003729175599	13.4187082355118
WBGene00000071	4.62556692549646	7.4405778779462	12.9776764812517	3.90564453549089	2.15873333655308	3.94168631232234	5.21043574179203	4.17786064834665	5.36748329420471
WBGene00000072	3.70045354039717	10.230794582176	0	8.7877002048545	14.3915555770206	9.46004714957362	10.4208714835841	11.4891167829533	6.0384187059803
WBGene00000073	82.335091273837	81.8463566574082	77.8660588875101	88.3652076154814	56.8466445292312	76.4687144590534	67.7356646432964	71.023631021893	77.8285077659683
WBGene00000074	205.375171492043	193.455024826601	214.131661940653	175.75400409709	215.873333655308	241.231202314127	157.181478210726	180.692473040992	182.49443200296
WBGene00000075	27.7534015529788	13.0210112864058	25.9553529625034	19.5282226774545	13.6719777981695	24.4384551363985	33.8678323216482	18.8003729175599	20.1280623532677
WBGene00000079	125.815420373504	97.6575846480438	142.754441293769	144.997053380099	77.714400115911	140.324032718675	119.840022061217	91.9129342636262	106.678730472319
WBGene00000080	539.341103512888	408.301711052298	674.839177025088	571.200513315543	474.201756262828	546.317722887876	484.570523986659	457.475740993958	517.291202478979
WBGene00000081	56.4319164910568	76.2659232489485	84.354897128136	52.2379956621907	74.8360890005069	63.0669809971575	57.3147931597123	63.7123748872864	55.6876391773739
WBGene00000083	8.32602046589363	25.1119503380684	12.9776764812517	21.4810449451999	15.1111333558716	14.9784079868249	6.94724765572271	12.5335819450399	15.4315144708385
WBGene00000084	1.85022677019859	4.65036117371637	0	5.37026123629998	3.59788889425514	3.94168631232234	6.07884169875737	8.35572129669329	5.36748329420471
WBGene00000085	6.47579369569505	3.7202889389731	0	4.88205566936361	0	0.788337262464468	2.60521787089602	0	3.35467705887794
WBGene00000086	28.6785149380781	62.3148397277994	38.9330294437551	23.9220727798817	23.0264889232329	13.401733461896	47.7623276330936	59.5345142389397	37.572383059433
WBGene00000088	25.9031747827802	12.0909390516626	32.4441912031292	25.3866894806908	25.185222259786	21.2851060865406	15.6313072253761	35.5118155109465	12.7477728237362
WBGene00000089	99.9122455907236	133.000329568288	25.9553529625034	81.042124111436	93.5451112506337	68.5853418344087	88.5774076104645	113.846702667446	87.2216035308265
WBGene00000090	314.538550933759	239.028564329022	311.46423555004	348.578774792562	279.91575597305	265.669657450526	295.258025368215	275.738802790879	494.479398478609
WBGene00000092	174.846429783766	164.62278554956	194.665147218775	202.60531027859	174.137822481949	229.40614337716	202.338587972924	189.048194337686	210.002783885759
WBGene00000093	15.726927546688	26.972094807555	19.4665147218775	22.945661646009	23.0264889232329	15.7667452492894	18.2365250962721	13.5780471071266	20.1280623532677
WBGene00000094	75.859297578142	59.5246230235696	38.9330294437551	111.799074828427	97.8625779237398	71.7386908842666	96.3930612231526	72.0680961839797	104.665924236992
WBGene00000095	22.202721242383	21.3916613990953	6.48883824062584	22.945661646009	13.6719777981695	26.0151296613274	29.5258025368215	27.1560942142532	22.81180400037
WBGene00000096	0.925113385099293	7.4405778779462	0	2.92923340161817	2.15873333655308	6.30669809971574	0	5.22232581043331	0.670935411775589
WBGene00000097	276.608902144688	425.97308351242	259.553529625034	289.505901193262	343.23860051194	382.343572295267	295.258025368215	359.296015757812	338.151447534897
WBGene00000098	2535.73578855716	1799.68977422824	2413.84782551281	1887.40272177597	2077.42104754292	2049.67688240762	1949.57137338719	1747.39021617099	2469.71325074594
WBGene00000099	136.916780994695	120.909390516626	291.997720828163	194.794021207608	143.195977991355	156.879115230429	127.655675673905	152.491913664653	161.024498826141
WBGene00000100	729.914460843342	937.512812621221	1031.72528025951	825.555613689387	882.202356871361	874.266024073095	732.934627678746	951.507762660949	653.491091069423
WBGene00000101	3251.77354862401	2349.36246496151	2186.73848709091	2766.17274226142	2838.01475978846	2763.91044220043	2814.50370652466	2590.27360197492	2956.81235969502
WBGene00000102	1039.8274448516	897.51970652726	674.839177025088	905.62132666695	836.868956803746	976.749868193476	860.59030335265	746.792590891963	1057.39420895833
WBGene00000103	31.4538550933759	58.5945507888263	32.4441912031292	35.6390063863544	38.8572000579555	37.8401885982945	39.0782680634402	32.3784200246865	39.5851892947597
WBGene00000105	174.846429783766	173.923507896992	168.709794256272	231.897644294772	172.698666924247	169.492511429861	227.522360724919	197.403915634379	172.430400826326
WBGene00000106	741.015821464533	455.735395024205	940.881544890747	958.347527896077	563.429400840355	833.272486424943	699.935201314063	606.834259172351	670.935411775589
WBGene00000107	177.621769939064	171.133291192763	227.109338421905	182.588882034199	183.492333607012	176.587546792041	203.206993929889	150.402983340479	177.126948708755
WBGene00000109	23.1278346274823	39.0630338592175	38.9330294437551	32.7097729847362	25.904800038637	29.1684787111853	26.0521787089602	16.7114425933866	20.1280623532677
WBGene00000110	144.31768807549	176.713724601222	214.131661940653	129.862680805072	168.381200251141	167.915836904932	135.471329286593	148.314053016306	141.567371884649
WBGene00000111	25.9031747827802	8.37065011268947	0	37.5918286540998	16.5502889135736	33.8985022859721	34.7362382786135	19.8448380796466	22.81180400037
WBGene00000112	61.9825968016526	65.1050564320292	162.220956015646	107.893430292936	92.1059556929316	73.3153654091955	76.4197242129498	94.0018645877996	86.5506681190509
WBGene00000113	457.93112562415	388.770194122689	726.749882950095	379.335725509553	381.376222791045	364.211815258584	365.598907882408	345.717968650685	401.219376241802
WBGene00000114	3179.61470458627	2997.62281257757	2199.71616357216	3242.66137559131	2799.87713750935	3581.41618337608	3556.99079973003	3086.39455396609	3619.6965465293
WBGene00000115	358.018880033426	590.595869061979	817.593618318856	441.826038077407	515.937267436187	369.730176095836	534.069663533683	555.655466230104	422.689309418621
