rank,target,id,raw.score,p.value,top.motif.prop,enriched.motif
1,sem-2,sem-2,1.2248723479943109,5.0027128422157585e-29,0.0945273631840796,TRUE
2,scrt-1,scrt-1,1.2858729267941453,6.427971548168133e-29,0.07960199004975124,TRUE
3,pha-2,pha-2,1.0758438132118753,1.1804538349945393e-19,0.09950248756218906,TRUE
4,pop-1,pop-1,1.151612003623454,8.934756474961847e-19,0.07960199004975124,TRUE
5,T07C12.11,T07C12.11,1.2527254071212326,5.85200656630204e-18,0.07213930348258707,TRUE
6,nhr-145,nhr-145,1.133327380825842,2.1637487416681373e-16,0.07213930348258707,TRUE
7,ceh-34,ceh-34,1.0518970445813416,4.1920225897275255e-16,0.07462686567164178,TRUE
8,mnm-2,mnm-2,1.3140792663244112,2.1815444245124622e-15,0.06965174129353234,TRUE
9,nhr-49,nhr-49,1.1190813494435286,1.193188880074463e-14,0.06218905472636816,TRUE
10,nhr-66,nhr-66,0.9234747583397174,5.4000744779263114e-14,0.07213930348258707,TRUE
11,nhr-168,nhr-168,1.1033929685481085,7.373291030686366e-14,0.0845771144278607,TRUE
12,cey-1,cey-1,1.1872119828261816,8.951288767788044e-14,0.07213930348258707,TRUE
13,Y48G1C.6,Y48G1C.6,1.4733987981104457,5.220202680402144e-13,0.07711442786069651,TRUE
14,ceh-48,ceh-48,0.9685279485925038,5.702698035395157e-13,0.08706467661691543,TRUE
15,nhr-34,nhr-34,1.1441012418170455,6.076862299131073e-13,0.07213930348258707,TRUE
16,nhr-36,nhr-36,1.221808649286668,7.590611608141994e-13,0.05721393034825871,TRUE
17,ceh-26,ceh-26,1.2260095888379507,1.569483339722048e-12,0.06965174129353234,TRUE
18,efl-2,efl-2,5.885807590736869,1.754906261873253e-11,0.07711442786069651,TRUE
19,nhr-42,nhr-42,1.1483189335495165,2.169680501765979e-11,0.04975124378109453,TRUE
20,egl-43,egl-43,1.4024349351400787,3.9667878138218236e-11,0.06467661691542288,TRUE
21,efl-2,efl-2,6.545461102887716,4.9954222582079604e-11,0.06965174129353234,TRUE
22,Y75B8A.6,Y75B8A.6,1.811443316140605,1.0882372703562233e-10,0.0472636815920398,TRUE
23,nhr-182,nhr-182,1.210406932410815,1.5397122824743128e-10,0.04228855721393035,TRUE
24,ceh-28,ceh-28,2.0720594432976847,2.758295462500897e-10,0.14676616915422885,TRUE
25,nhr-46,nhr-46,1.1109450459382102,1.1207784825460321e-9,0.07462686567164178,TRUE
26,Y53H1A.2,Y53H1A.2,2.3013623545500086,2.2730621407273048e-9,0.02736318407960199,TRUE
27,ceh-24,ceh-24,1.0678575669919335,2.7211909182638188e-9,0.07462686567164178,TRUE
28,Y44A6D.3,Y44A6D.3,5.808847539329668,2.207724290226272e-8,0.10945273631840796,TRUE
29,tbx-38,tbx-38,1.3614052071968339,7.042903519616744e-8,0.05223880597014925,TRUE
30,ref-2,ref-2,2.4539103703014433,6.32946259618515e-7,0.0472636815920398,TRUE
31,nhr-3,nhr-3,1.0860372882226235,1.419493999095365e-6,0.05472636815920398,TRUE
32,gei-3,gei-3,1.0131712552595573,2.6797175116895742e-6,0.09950248756218906,TRUE
33,ceh-51,ceh-51,0.8306511907340057,5.323459798778396e-6,0.08955223880597014,TRUE
34,klf-3,klf-3,7.3278852239192815,5.832783195026136e-6,0.05472636815920398,TRUE
35,ztf-27,ztf-27,1.6630572164799908,6.9874012569729415e-6,0.04477611940298507,TRUE
36,tbx-40,tbx-40,1.780791514145527,7.68204469125633e-6,0.06716417910447761,TRUE
37,hlh-12,hlh-12,2.217568002426501,1.0779240036462496e-5,0.09203980099502487,TRUE
